ID da resposta,Data de início,Data da última ação,Endereço IP,O que achou do sistema de submissão de trabalhos?,O que achou do sistema de submissão de trabalhos? - comment,Você mora em Curitiba?,O que você achou das instalações do evento?,O que você achou das instalações do evento? - comment,Você teve alguma dificuldade para se hospedar no hotel?,"Considerando todos os aspectos locais do evento, nos dê sua opinião:

	O que você achou do evento?",Você teve acesso a todos os recursos necessários para sua apresentação?,"Se não, quais recursos faltaram?","Durante o evento, você teve alguma dificuldade para se alimentar?"
31,2015-04-26 07:29:03,2015-04-26 07:29:03,201140212132,,,N/A,,,N/A,,N/A,,N/A
32,2015-04-26 07:56:31,2015-04-26 07:59:18,177.42.21.204,Bom,,Sim,Ótimo,,N/A,"Gostei do evento. Infelizmente perdi a festa de confraternização, mas tinha compromisso. Presença de pessoas e palestrantes que eu admiro, não citarei nomes para não esquecer ninguém. Bom número de voluntários engajados. Parabéns.",Sim,,Não
33,2015-04-26 07:58:48,2015-04-26 07:58:48,66.102.6.229,,,N/A,,,N/A,,N/A,,N/A
34,2015-04-26 08:18:03,2015-04-26 08:18:03,189.32.58.37,,,N/A,,,N/A,,N/A,,N/A
35,2015-04-26 08:19:10,2015-04-26 08:22:21,177.5.62.160,Bom,"Eu achei bem interessante, pena que palestras interessante ocorriam simultaneamente e não pude ver algumas.",Sim,Bom,Foram satisfatórias!,N/A,O Evento foi bem organizado. Fui bem recebido e as paletras e workshops bem conduzidos.,Não,Vários computadores nos workshops estavam com problemas.,Não
36,2015-04-26 08:31:39,2015-04-26 08:33:49,177.132.4.251,Bom,,Sim,Bom,Só alguams travas na internet atrapalharam.,N/A,Muito bom!,Sim,,Não
37,2015-04-26 08:39:07,2015-04-26 08:39:07,177.16.171.87,,,N/A,,,N/A,,N/A,,N/A
38,2015-04-26 08:44:01,2015-04-26 08:45:16,201.25.135.2,Ótimo,,Não,Ótimo,,Não,Mt bom!,Sim,,Não
39,2015-04-26 09:04:31,2015-04-26 09:05:16,191.177.79.172,Ótimo,,Sim,Ótimo,,N/A,Muito bem organizado.,Sim,,Não
40,2015-04-26 09:10:57,2015-04-26 09:11:55,189114185182,Ótimo,,Sim,Ótimo,,N/A,Foi incrível. Uma comunidade incrível :),Sim,,Não
41,2015-04-26 09:17:25,2015-04-26 09:17:25,189.4.32.231,,,N/A,,,N/A,,N/A,,N/A
42,2015-04-26 09:37:54,2015-04-26 09:39:28,179.186.195.40,Bom,,Sim,Ótimo,,N/A,"Muito bom, muito bem organizado e tinha um ambiente de tranquilidade que não tinha presenciado em outros eventos.",Sim,,Não
43,2015-04-26 09:58:53,2015-04-26 09:59:55,177.220.180.40,Bom,,Sim,Ótimo,,N/A,ótimo,Sim,,Não
44,2015-04-26 10:12:04,2015-04-26 10:13:24,177.205.1.57,Bom,,Sim,Ótimo,,N/A,muito bom,Sim,,Não
45,2015-04-26 11:22:42,2015-04-26 11:25:07,177.124.57.202,Bom,,Sim,Ótimo,,N/A,"Achei bem interessante, conheci coisas novas e fui muito bem recebida adorei",Sim,,Não
46,2015-04-26 11:25:15,2015-04-26 11:25:15,177.124.57.202,,,N/A,,,N/A,,N/A,,N/A
47,2015-04-26 11:28:22,2015-04-26 11:28:22,177.201.230.61,,,N/A,,,N/A,,N/A,,N/A
